2.343422943579693651e+02 4.173165150485861119e+01 -2.869242186914107151e-01
2.343543024688494825e+02 4.173185730952879879e+01 -4.499920028479778011e-01
2.343663106564420389e+02 4.173206186403383811e+01 -6.116908544608463671e-01
2.343783189202806057e+02 4.173226516835679689e+01 -7.719968536898704770e-01
2.343903272598987542e+02 4.173246722248082818e+01 -9.308853882665175661e-01
2.344023356748301126e+02 4.173266802638918449e+01 -1.088331179042711483e+00
2.344143441646081953e+02 4.173286758006524622e+01 -1.244308317340426129e+00
2.344263527287665454e+02 4.173306588349245771e+01 -1.398790316435508885e+00
2.344383613668386204e+02 4.173326293665439835e+01 -1.551750179330440460e+00
2.344503700783579347e+02 4.173345873953473983e+01 -1.703160485567082105e+00
2.344623788628578893e+02 4.173365329211726049e+01 -1.852993499603655891e+00
2.344743877198719133e+02 4.173384659438583100e+01 -2.001221303705392529e+00
2.344863966489334643e+02 4.173403864632444993e+01 -2.147815958114051682e+00
2.344984056495758296e+02 4.173422944791717981e+01 -2.292749691029996484e+00
2.345104147213324381e+02 4.173441899914823949e+01 -2.435995120843756467e+00
2.345224238637365488e+02 4.173460730000189045e+01 -2.577525512073577829e+00
2.345344330763214771e+02 4.173479435046255759e+01 -2.717315065848310951e+00
2.345464423586205385e+02 4.173498015051472265e+01 -2.855339244067693016e+00
2.345584517101669917e+02 4.173516470014298818e+01 -2.991575124668656827e+00
2.345704611304940386e+02 4.173534799933206330e+01 -3.126001782704747711e+00
2.345824706191349094e+02 4.173553004806678501e+01 -3.258600688856461147e+00
2.345944801756227776e+02 4.173571084633201167e+01 -3.389356112694542844e+00
2.346064897994908165e+02 4.173589039411280055e+01 -3.518255512835935406e+00
2.346184994902721712e+02 4.173606869139425868e+01 -3.645289889895195756e+00
2.346305092474999583e+02 4.173624573816161387e+01 -3.770454069753441217e+00
2.346425190707072943e+02 4.173642153440019342e+01 -3.893746874651924372e+00
2.346545289594272390e+02 4.173659608009542410e+01 -4.015171125519202633e+00
2.346665389131928805e+02 4.173676937523283215e+01 -4.134733399964659384e+00
2.346785489315371933e+02 4.173694141979806460e+01 -4.252443441866432750e+00
2.346905590139932087e+02 4.173711221377686087e+01 -4.368313074999150558e+00
2.347025691600939581e+02 4.173728175715506694e+01 -4.482354402872374521e+00
2.347145793693724158e+02 4.173745004991862118e+01 -4.594576960833364865e+00
2.347265896413614428e+02 4.173761709205357562e+01 -4.704983294033468155e+00
