y,x_0.00175
-153.2404255319149,295.91545658651984
-153.61576971214018,296.27763978320854
-153.99111389236546,296.63938077101096
-154.36645807259072,297.0006811657323
-154.741802252816,297.3615425733616
-155.1171464330413,297.7219665901549
-155.4924906132666,298.08195480271775
-155.86783479349188,298.4415087880867
-156.24317897371714,298.8006301138098
-156.61852315394242,299.15932033802653
-156.9938673341677,299.5175810095463
-157.369211514393,299.8754136679269
-157.74455569461827,300.23281984355145
-158.11989987484358,300.5898010577049
-158.49524405506884,300.94635882264924
-158.87058823529412,301.3024946416988
-159.2459324155194,301.6582100092936
-159.6212765957447,302.013506411073
-159.99662077596997,302.3683853239478
-160.37196495619523,302.7228482161721
-160.7473091364205,303.0768965474137
-161.1226533166458,303.43053176882495
-161.4979974968711,303.78375532311145
-161.8733416770964,304.1365686446012
-162.24868585732165,304.48897315931225
-162.62403003754693,304.84097028502015
-162.9993742177722,305.19256143132435
-163.3747183979975,305.5437479997142
-163.75006257822278,305.89453138363393
-164.12540675844804,306.2449129685474
-164.50075093867332,306.5948941320017
-164.87609511889863,306.94447624369053
-165.25143929912392,307.2936606655166
-165.6267834793492,307.64244875165366
-166.00212765957448,307.99084184860754
-166.37747183979974,308.3388412952772
-166.75281602002502,308.6864484230143
-167.1281602002503,309.03366455568306
-167.5035043804756,309.3804910097187
-167.8788485607009,309.72692909418583
-168.25419274092616,310.07298011083606
-168.62953692115144,310.4186453541654
-169.00488110137672,310.76392611147014
-169.380225281602,311.10882366290326
-169.7555694618273,311.4533392815296
-170.13091364205255,311.79747423338074
-170.50625782227783,312.14122977750935
-170.88160200250312,312.48460716604274
-171.25694618272843,312.8276076442363
-171.6322903629537,313.1702324505259
-172.007634543179,313.5124828165803
-172.38297872340425,313.8543599673529
-172.75832290362953,314.1958651211325
-173.13366708385482,314.5369994895942
-173.5090112640801,314.8777642778499
-173.88435544430538,315.218160684497
-174.25969962453064,315.5581899016685
-174.63504380475595,315.8978531150816
-175.01038798498124,316.2371515040854
-175.38573216520652,316.57608624170905
-175.7610763454318,316.9146584947092
-176.13642052565706,317.2528694236166
-176.51176470588234,317.59072018278255
-176.88710888610763,317.9282119204249
-177.2624530663329,318.2653457786738
-177.63779724655822,318.6021228936163
-178.0131414267835,318.9385443953414
-178.38848560700876,319.27461140798414
-178.76382978723404,319.6103250497697
-179.13917396745933,319.9456864330563
-179.5145181476846,320.28069666437875
-179.8898623279099,320.6153568444904
-180.26520650813515,320.94966806840614
-180.64055068836043,321.2836314254435
-181.01589486858575,321.6172479992645
-181.39123904881103,321.9505188679164
-181.7665832290363,322.28344510387245
-182.14192740926157,322.6160277740722
-182.51727158948685,322.94826793996134
-182.89261576971214,323.2801666575313
-183.26795994993742,323.6117249773583
-183.6433041301627,323.94294394464214
-184.01864831038796,324.2738245992446
-184.39399249061327,324.60436797572805
-184.76933667083856,324.9345751033922
-185.14468085106384,325.26444700631237
-185.52002503128912,325.5939847033762
-185.8953692115144,325.92318920832025
-186.27071339173966,326.25206152976665
-186.64605757196495,326.5806026712591
-187.02140175219023,326.90881363129836
-187.39674593241554,327.23669540337795
-187.77209011264083,327.564248976019
-188.14743429286608,327.891475332805
-188.52277847309136,328.2183754524168
-188.89812265331665,328.544950308666
-189.27346683354193,328.87120087052915
-189.64881101376722,329.1971281021815
-190.02415519399247,329.5227329630298
-190.39949937421775,329.8480164077456
-190.77484355444307,330.17297938629775
-191.15018773466835,330.49762284398474
-191.52553191489363,330.8219477214668
-191.90087609511892,331.14595495479796
-192.27622027534417,331.4696454754571
-192.65156445556946,331.79302021037967
-193.02690863579474,332.1160800819881
-193.40225281602002,332.4388260082232
-193.7775969962453,332.761258902574
-194.1529411764706,333.08337967410813
-194.52828535669587,333.4051892275017
-194.90362953692116,333.7266884630691
-195.27897371714644,334.0478782767921
-195.65431789737173,334.3687595603493
-196.02966207759698,334.6893332011447
-196.40500625782227,335.0096000823365
-196.78035043804755,335.32956108286544
-197.15569461827283,335.64921707748306
-197.53103879849814,335.96856893677943
-197.9063829787234,336.28761752721084
-198.28172715894868,336.6063637111274
-198.65707133917397,336.9248083468001
-199.03241551939925,337.2429522884476
-199.40775969962453,337.5607963862633
-199.78310387984982,337.8783414864416
-200.15844806007507,338.19558843120444
-200.5337922403004,338.512538058827
-200.90913642052567,338.8291912036638
-201.28448060075095,339.1455486961743
-201.65982478097624,339.4616113629482
-202.0351689612015,339.7773800267308
-202.41051314142678,340.0928555064478
-202.78585732165206,340.40803861723026
-203.16120150187734,340.7229301704391
-203.53654568210263,341.0375309736893
-203.9118898623279,341.3518418308743
-204.2872340425532,341.66586354219
-204.66257822277848,341.97959690415826
-205.03792240300376,342.29304270965065
-205.41326658322905,342.6062017479119
-205.7886107634543,342.91907480458275
-206.16395494367958,343.23166266172353
-206.53929912390487,343.5439660978364
-206.91464330413015,343.8559858878881
-207.28998748435546,344.16772280333277
-207.66533166458075,344.4791776121336
-208.040675844806,344.79035107878525
-208.4160200250313,345.101243964336
-208.79136420525657,345.4118570264089
-209.16670838548185,345.72219101922354
-209.54205256570714,346.03224669361765
-209.9173967459324,346.3420247970679
-210.2927409261577,346.65152607371135
-210.668085106383,346.9607512643658
-211.04342928660827,347.26970110655105
-211.41877346683356,347.57837633450885
-211.7941176470588,347.88677767922366
-212.1694618272841,348.19490586844285
-212.54480600750938,348.5027616266963
-212.92015018773466,348.8103456753169
-213.29549436795995,349.1176587324598
-213.67083854818526,349.42470151312205
-214.0461827284105,349.73147472916213
-214.4215269086358,350.0379790893193
-214.79687108886108,350.3442152992324
-215.17221526908637,350.65018406145896
-215.54755944931165,350.95588607549416
-215.9229036295369,351.26132203778906
-216.2982478097622,351.56649264176974
-216.67359198998747,351.871398577855
-217.04893617021278,352.1760405334751
-217.42428035043807,352.4804191930894
-217.79962453066332,352.78453523820485
-218.1749687108886,353.0883893473932
-218.5503128911139,353.3919821963092
-218.92565707133917,353.6953144577076
-219.30100125156446,353.99838680146104
-219.6763454317897,354.30119989457694
-220.05168961201502,354.6037544012149
-220.4270337922403,354.90605098270345
-220.8023779724656,355.2080902975571
-221.17772215269088,355.50987300149296
-221.55306633291616,355.8113997474474
-221.92841051314142,356.11267118559255
-222.3037546933667,356.4136879633527
-222.67909887359198,356.71445072542025
-223.05444305381727,357.0149601137723
-223.42978723404258,357.31521676768625
-223.80513141426783,357.6152213237557
-224.18047559449312,357.9149744159064
-224.5558197747184,358.21447667541173
-224.93116395494368,358.5137287309082
-225.30650813516897,358.81273120841104
-225.68185231539422,359.111484731329
-226.0571964956195,359.40998992048026
-226.4325406758448,359.7082473941067
-226.8078848560701,360.00625776788945
-227.1832290362954,360.3040216549632
-227.55857321652067,360.6015396659315
-227.93391739674593,360.8988124088808
-228.3092615769712,361.1958404893953
-228.6846057571965,361.49262451057126
-229.05994993742178,361.7891650730312
-229.43529411764706,362.0854627749382
-229.81063829787234,362.38151821201006
-230.18598247809763,362.6773319775328
-230.5613266583229,362.97290466237513
-230.9366708385482,363.268236855002
-231.31201501877348,363.56332914148805
-231.68735919899873,363.8581821055315
-232.06270337922402,364.15279632846745
-232.4380475594493,364.4471723892812
-232.81339173967459,364.7413108646217
-233.1887359198999,365.0352123288147
-233.56408010012518,365.32887735387544
-233.93942428035044,365.62230650952233
-234.31476846057572,365.91550036318944
-234.690112640801,366.2084594800391
-235.0654568210263,366.50118442297514
-235.44080100125157,366.7936757526549
-235.81614518147683,367.08593402750245
-236.1914893617021,367.37795980372044
